%PumpFlow        PumpHead
2777.4  838.1
2813.7  832.46
2741.8  840.61
2899.7  825.48
2937.4  815.93
2894    827.48
2818.1  832.68
2856.9  827.39
2826.7  830.82
2817.8  829.8
2769.8  831.24
2864.1  826.25
2916.5  822.85
2862.6  822.72
2819.6  833.81
2972    817.96
2910.4  817.96
2838.2  824.76
2902.5  819.22
2894.8  819.39
2878.9  823.39
2852.2  824.04
2866.4  829.08
2852.7  825.26
2896.7  824.56
2866.7  825.01
2833.4  830.05
2866.6  828.76
2863.6  823.22
2887.2  819.15
2958.2  809.93
2857.7  827.07
2928.2  820.23
3015.1  807.48
2836.9  821.83
2746.6  845.05
2729.4  834.96
2717.7  834.28
2702.9  841.38
2934.9  817.68
3110.1  795.95
2841.4  827.68
2769    838.78
2750.7  835.44
2800    832.01
2725.9  835.94
2736.4  836.38
2730.3  842.62
2687.8  845.95
2753.2  838.63
2633    850.9
2701.1  844.61
2667.9  842.63
2704.5  837.61
2937    823.7
2864.1  823.82
2844    828.16
2828.9  832.59
2820.7  830.2
2809.3  830.38
2721.1  844.49
2795.6  827.51
2928.2  817.51
2864.1  829.66
2762.5  838.36
2945.8  817.01
2791.6  838.15
2794.4  834.66
2889.8  830.52
2911.4  822.64
2896    826.69
2878.7  824.66
2581.1  849.06
2961.6  811.93
2820.2  831.06
2881    817.61
2916.3  816.48
2965.9  812.34
3025    805.42
2948.7  819.91
2898.7  819.09
2936.2  820.54
2985.4  807.89
2846    824.94
2741.3  835.95
2886.9  821.95
2823.2  824.95
2890.1  827.39
2902    821.89
2934.1  820.09
2729.5  838.52
2613.9  847.79
2520.7  854.56
2721.6  840.83
2793.1  830.37
2546.5  854.97
2584.1  854.51
2419.7  859.01
2710.7  833.58
2549.1  856.76
2577.7  851.78
2589    851.94
2558.2  852.61
2671.8  841.64
2630.5  842.3
2639    844.49
2378.7  867.16
2679.1  846.24
2670.8  847.81
2690.6  840.57
2636.4  844.86
2610.7  844
2592.6  851.89
2533.5  852.68
2741.2  840.99
2586.4  854.78
2614.7  849.96
2580.2  851.77
2579    848.31
2613.9  855.78
2601.3  852.3
2543.2  858.91
2602.3  847.47
2591.8  853.39
2628.4  848.88
2586.4  849.57
2560.4  860.32
2573.8  847.69
2595.8  854.65
2619.6  849.12
2642.2  844.01
2582.5  846.18
2607.7  850.88
2712.7  834.96
2832    829.71
3013.9  810.51
3059.8  806.85
3156.5  791.53
3179.7  786.41
3306.2  775.08
3316.8  768.8
3327.6  773.9
3363.8  765.66
2893.5  821.01
2882.1  826.65
2903.4  821.55
2942.4  814.09
2963    817.26
2858.7  829.78
2914.2  823.16
2968.9  820.52
2747.5  836.22
2761.6  831.41
2830.8  830.82
2889.3  820.46
2809.3  834.04
2797.2  831.97
2766.5  835.5
2791.6  835.04
2791.1  832.91
2823.7  833.72
2779.6  843.19
2708.8  841.42
2888    822.84
2759.1  836.48
2777.3  832.5
2765.3  826.56
3074.6  804.55
3191.9  790.26
2991.9  812.42
3053.4  807.41
3165.7  783.61
3362.4  760.33
3274.4  776.86
2922.1  814
2862.1  828.93
2764.3  836.77
2843.3  827.15
2911.1  816.62
2842.1  827.82
2883.6  825.01
2773.9  836.51
2821.5  829.27
2969.1  814.34
2828.6  831.01
2896.8  822.77
2869.5  828.82
2813.8  831.74
2778.1  839.14
2887.2  825.39
2960.4  822.02
2980    814.62
2828.9  832.6
2954.8  812.72
2898.6  821.96
2820    826.21
2829.1  828.4
2839.2  827.87
3001.1  812.33
2848.3  826.55
2895.6  829.19
2889.4  823.69
2867    827.94
2837.3  830.43
2843.4  832.53
2910.4  817.41
2889.7  820.28
2817.7  827
2883.6  820.21
2789.8  837.65
2800    833.82
3013.3  810.35
2913.6  823.07
2885    833.29
2913.9  825.24
2919.3  822.75
2888.1  824.16
2845.5  830.23
2863.6  826.19
2881.9  829.24
2864.6  828.58
2819.7  831.84
2937.8  818.98
2891.9  825.58
3042.3  806.74
2885.1  820.29
2817.7  829.2
2790.3  824.73
2821.7  829.48
2788.7  833.43
2871.4  828.15
2710.7  838.93
2779.1  834.37
2740.4  837.29
2766.9  833.29
2796.5  834.02
2756.2  835.51
2803    827.43
2811.9  835.26
2758.9  837.42
2777.1  832.5
2640    846.06
2586.9  854.18
2878.4  823.67
2735.8  837.91
2627.5  848.3
2852.6  826.06
2765    841.2
2731.2  837.73
2678    843.32
2748.1  835.07
2794.7  826.53
2730    839.59
2872    825.85
2892.6  824.71
2838.4  826.28
2790.8  832.22
2820.5  833.81
2867.2  827.51
2872.9  825.29
2847.7  821.86
3046.2  811
2856.1  827.8
2930.5  819.95
