%PumpFlow        PumpHead
2365.7  860.76
2756.4  831.03
2551.8  850
2488.5  852.07
2528.9  851.65
2534.3  850.59
2558.5  848.03
2642.6  842.23
2654.1  839.92
2694.5  836.2
2391.5  860.45
2717.7  835.49
2787.5  828.68
2665    840.1
2714.7  837.03
2694.5  838.27
2491.4  855.58
2412.5  861.89
2364.7  860.75
2403.6  859.16
2572.7  847.39
2628.8  844.3
2586.6  847.11
2606.8  846.23
2381.4  861.86
2479.1  853.83
2377.2  861.24
2458.9  855.8
2368.9  861.61
2440.6  857.02
2509.8  852.26
2517.5  850.67
2260.7  869.73
2487.4  854.34
2420.9  858.4
2658.3  839.93
2722    834.39
2423.6  858.69
2449.4  857.4
2482    854.31
2355.8  862.63
2548.6  848.68
2724.1  833.92
2604.9  845.33
2605    845.91
2506.6  853.76
2525.4  850.46
2534.3  848.96
2566.1  849.26
2508.2  852.45
2554.1  850.11
2391.8  861.35
2216.1  872.2
2298.5  866.79
2368.2  861.58
2403.2  856.31
2613.2  843.47
2619.1  843.53
2432.9  856.48
2399.7  859.54
2557.3  848.09
2436.7  858.04
2548.9  849.22
2505.8  854.81
2529.4  851.63
2461.3  855.23
2359    862.1
2367.4  862.81
2470.7  855.24
2540.7  850.68
2473    855.72
2513.8  851.14
2295.7  867.08
2461.2  856.46
2438.8  856.27
2577.2  846.97
2534.3  850.34
2520.6  848.51
2262.6  868
2420.9  859.63
2240.4  868.08
2402.1  859.92
2533.2  850.21
2543.9  849.14
2572.7  845.8
2473.2  855.22
2539.6  850.64
2397.7  861.32
2494    853.12
2473.2  855.82
2577.9  847.5
2470.7  854.93
2525.8  851.95
2428.1  858.83
2446.5  856.73
2388.7  858.48
2464.9  857.23
2514.1  852.91
2455.7  856.96
2482.5  853.84
2464.8  855.15
2452    857.55
2457.7  857.56
2428.8  858.27
2532.3  851.57
2466.2  857.02
2403.6  860.86
2406.1  860.51
2476.1  853.17
2391.6  862.03
2466.1  854.81
2465.3  855.69
2423.9  858.13
