"%""Heat"	and	Mass	Transfer	"Experiment"""						
"%""Data"	"file"""									
"%""The"	time	is	"15:10:06.59."""							
"%""The"	date	is	"8-30-2005."""							
"%""Sec."	" Volts"""	Volts	Volts	Deg C	Deg C	Deg C	Deg C	kg/h	kg/h	kg/h
"%""Time"	 Cold	 Hot	" Total"""	T1   	T2   	T4   	T5   	Cold	Hot	Total
208	2.77	2.93	2.72	17.99	46.87	40.35	33.27	297.5603008		
210	2.68	2.9	2.58	17.8	47.06	38.89	33.27	292.7069449		
212	2.76	2.98	2.74	18.55	46.69	39.26	32.73	297.0249719		
214	2.76	2.99	2.75	18.36	46.87	40.53	32.91	297.0249719		
216	2.76	2.92	2.92	18.17	46.69	41.07	34	297.0249719		
218	2.78	2.95	2.93	18.55	46.69	40.89	33.45	298.0946643		
220	2.77	2.97	2.86	18.55	46.69	39.98	33.09	297.5603008		
222	2.82	3.01	2.83	18.17	46.87	39.62	33.45	300.2225672		
224	2.82	3.01	2.63	18.36	46.69	39.62	33.82	300.2225672		
226	2.76	2.93	2.6	17.62	47.06	40.89	32.91	297.0249719		
228	2.73	2.92	2.73	17.99	46.87	40.35	33.09	295.4131399		
230	2.73	2.77	2.65	18.36	46.69	40.71	33.09	295.4131399		
232	2.73	2.87	2.74	17.62	47.06	40.53	33.27	295.4131399		
234	2.67	2.84	2.7	17.8	47.06	39.44	33.64	292.162685		
236	2.69	2.83	2.7	17.8	46.87	40.35	32.73	293.2501904		
238	2.69	2.84	2.64	17.8	47.06	39.62	32.73	293.2501904		
240	2.68	2.81	2.59	17.62	47.06	39.98	32.18	292.7069449		
242	2.68	2.86	2.69	17.99	46.87	39.44	33.09	292.7069449		
244	2.69	2.89	2.8	17.8	46.87	40.53	33.27	293.2501904		
246	2.73	2.91	2.71	18.55	46.69	39.26	32.91	295.4131399		
248	2.7	2.91	2.78	18.17	46.69	39.8	32.37	293.7924271		
250	2.71	2.88	2.75	17.99	46.87	40.89	32.18	294.3336605		
252	2.74	2.86	2.64	18.73	46.69	40.71	33.82	295.9513968		
254	2.75	2.92	2.8	18.17	46.69	39.08	33.45	296.4886723		
256	2.77	2.99	2.76	18.17	46.69	40.53	32.91	297.5603008		
